Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;26651;"Annual Review of Astronomy and Astrophysics";book series;"15454282, 00664146";15,623;Q1;204;17;45;5218;2837;42;54,76;306,94;United States;Northern America;"Annual Reviews Inc.";"1990-2019";"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)"
2;26756;"Astronomy and Astrophysics Review";journal;"09354956, 14320754";10,857;Q1;72;7;19;2701;879;19;50,43;385,86;Germany;Western Europe;"Springer Verlag";"1989-2000, 2002-2004, 2006-2020";"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)"
3;19700173023;"Living Reviews in Solar Physics";journal;"16144961, 23673648";6,861;Q1;57;5;14;1288;449;14;26,92;257,60;Switzerland;Western Europe;"Springer International Publishing AG";"2004-2020";"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)"
4;22005;"Annual Review of Earth and Planetary Sciences";book series;"00846597";5,331;Q1;158;25;70;3580;1070;67;13,59;143,20;United States;Northern America;"Annual Reviews Inc.";"1976, 1978-2020";"Astronomy and Astrophysics (Q1); Earth and Planetary Sciences (miscellaneous) (Q1); Space and Planetary Science (Q1)"
5;19900192103;"Astrophysical Journal Letters";journal;"20418213, 20418205";3,639;Q1;201;730;1751;37090;26546;1751;14,12;50,81;United Kingdom;Western Europe;"IOP Publishing Ltd.";"1991-1993, 1995-2020";"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)"
6;26769;"Astrophysical Journal, Supplement Series";journal;"15384365, 00670049";3,546;Q1;277;274;564;18873;8193;562;15,10;68,88;United Kingdom;Western Europe;"IOP Publishing Ltd.";"1984, 1987-2020";"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)"
7;21100826565;"Nature Astronomy";journal;"23973366";3,085;Q1;67;267;811;8153;6859;347;9,37;30,54;United Kingdom;Western Europe;"Nature Publishing Group";"2016-2020";"Astronomy and Astrophysics (Q1)"
8;26704;"Astronomical Journal";journal;"00046256, 15383881";2,610;Q1;271;520;1493;36828;15298;1493;10,69;70,82;United Kingdom;Western Europe;"IOP Publishing Ltd.";"1987, 1989-2020";"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)"
9;28261;"Space Science Reviews";journal;"15729672, 00386308";2,474;Q1;160;142;353;21750;3598;337;10,79;153,17;Netherlands;Western Europe;"Springer Netherlands";"1962-2020";"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)"
10;26765;"Astrophysical Journal";journal;"0004637X, 15384357";2,376;Q1;489;3025;9178;227933;87582;9176;9,82;75,35;United Kingdom;Western Europe;"IOP Publishing Ltd.";"1984-2020";"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)"
